#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
ES|CCAL||EHN|27.712828|-18.147203|111.0|0.0|18.0|0.0|LE3DLiteMkI@1s400VmsNmxTaurus4VppLImp1mHzRFon|1598940000.0|10.0|M/S|100.0|2016-06-09T19:14:15|2016-07-12T11:32:41
ES|CCAL||EHZ|27.712828|-18.147203|111.0|0.0|0.0|-90.0|LE3DLiteMkI@1s400VmsNmxTaurus4VppLImp1mHzRFon|1598940000.0|10.0|M/S|100.0|2016-06-09T19:14:15|2016-07-12T11:32:41
ES|CCAL||HHE|27.712828|-18.147203|111.0|0.0|118.0|0.0|NmxTCompact@120s754VmsNmxTaurus40VppLImp1mHzRFon|301710000.0|1.0|M/S|100.0|2016-08-03T12:46:38|2017-06-19T15:26:13
ES|CCAL||HHE|27.712828|-18.147203|111.0|0.0|90.0|0.0|NmxTCompact@120s754VmsNmxTaurus40VppLImp1mHzRFon|301710000.0|1.0|M/S|100.0|2017-06-19T15:26:20|2025-04-28T10:50:00
ES|CCAL||HHE|27.712828|-18.147203|111.0|0.0|90.0|0.0|NmxTCompact@120s754VmsNmxCentarur40VppLPh1mHzRFon|301710000.0|1.0|M/S|100.0|2025-04-28T12:44:52|
ES|CCAL||HHN|27.712828|-18.147203|111.0|0.0|18.0|0.0|NmxTCompact@120s754VmsNmxTaurus40VppLImp1mHzRFon|301710000.0|1.0|M/S|100.0|2016-08-03T12:46:38|2017-06-19T15:26:13
ES|CCAL||HHN|27.712828|-18.147203|111.0|0.0|0.0|0.0|NmxTCompact@120s754VmsNmxTaurus40VppLImp1mHzRFon|301710000.0|1.0|M/S|100.0|2017-06-19T15:26:20|2025-04-28T10:50:00
ES|CCAL||HHN|27.712828|-18.147203|111.0|0.0|0.0|0.0|NmxTCompact@120s754VmsNmxCentarur40VppLPh1mHzRFon|301710000.0|1.0|M/S|100.0|2025-04-28T12:44:52|
ES|CCAL||HHZ|27.712828|-18.147203|111.0|0.0|0.0|-90.0|NmxTCompact@120s754VmsNmxTaurus40VppLImp1mHzRFon|301710000.0|1.0|M/S|100.0|2016-08-03T12:46:38|2017-06-19T15:26:13
ES|CCAL||HHZ|27.712828|-18.147203|111.0|0.0|0.0|-90.0|NmxTCompact@120s754VmsNmxTaurus40VppLImp1mHzRFon|301710000.0|1.0|M/S|100.0|2017-06-19T15:26:20|2025-04-28T10:50:00
ES|CCAL||HHZ|27.712828|-18.147203|111.0|0.0|0.0|-90.0|NmxTCompact@120s754VmsNmxCentarur40VppLPh1mHzRFon|301710000.0|1.0|M/S|100.0|2025-04-28T12:44:52|
ES|CCAN||EHE|28.223732|-16.607005|2250.0|0.0|90.0|0.0|LE3D5sMkI400VmsGurDM24|124832000.0|1.0|M/S|100.0|2009-04-15T11:31:40|2009-09-22T10:08:30
ES|CCAN||EHE|28.223732|-16.607005|2250.0|0.0|90.0|0.0|LE3D5sMkI400VmsGurDM24|124832000.0|1.0|M/S|100.0|2010-03-25T13:44:10|2010-08-25T07:46:10
ES|CCAN||EHN|28.223732|-16.607005|2250.0|0.0|0.0|0.0|LE3D5sMkI400VmsGurDM24|124832000.0|1.0|M/S|100.0|2009-04-15T11:31:40|2009-09-22T10:08:30
ES|CCAN||EHN|28.223732|-16.607005|2250.0|0.0|0.0|0.0|LE3D5sMkI400VmsGurDM24|124832000.0|1.0|M/S|100.0|2010-03-25T13:44:10|2010-08-25T07:46:10
ES|CCAN||EHZ|28.223732|-16.607005|2250.0|0.0|0.0|-90.0|LE3D5sMkI400VmsGurDM24|124832000.0|1.0|M/S|100.0|2009-04-15T11:31:40|2009-09-22T10:08:30
ES|CCAN||EHZ|28.223732|-16.607005|2250.0|0.0|0.0|-90.0|LE3D5sMkI400VmsGurDM24|124832000.0|1.0|M/S|100.0|2010-03-25T13:44:10|2010-08-25T07:46:10
ES|CCAN||HHE|28.223732|-16.607005|2250.0|0.0|90.0|0.0|GrlpCMG6T30s2400VmsGrlpDM24Mk3Tap6|749852000.0|1.0|M/S|100.0|2014-08-27T10:19:29|2021-08-31T12:20:52
ES|CCAN||HHE|28.223732|-16.607005|2250.0|0.0|90.0|0.0|GrlpCMG6T30s2400VmsGrlpDM24Mk3Tap6|748602000.0|1.0|M/S|100.0|2021-08-31T12:21:26|
ES|CCAN||HHN|28.223732|-16.607005|2250.0|0.0|0.0|0.0|GrlpCMG6T30s2400VmsGrlpDM24Mk3Tap6|749852000.0|1.0|M/S|100.0|2014-08-27T10:19:29|2021-08-31T12:20:52
ES|CCAN||HHN|28.223732|-16.607005|2250.0|0.0|0.0|0.0|GrlpCMG6T30s2400VmsGrlpDM24Mk3Tap6|747352000.0|1.0|M/S|100.0|2021-08-31T12:21:26|
ES|CCAN||HHZ|28.223732|-16.607005|2250.0|0.0|0.0|-90.0|GrlpCMG6T30s2400VmsGrlpDM24Mk3Tap6|749852000.0|1.0|M/S|100.0|2014-08-27T10:19:29|2021-08-31T12:20:52
ES|CCAN||HHZ|28.223732|-16.607005|2250.0|0.0|0.0|-90.0|GrlpCMG6T30s2400VmsGrlpDM24Mk3Tap6|747352000.0|1.0|M/S|100.0|2021-08-31T12:21:26|
ES|CCAN||SHZ|28.223732|-16.607005|2250.0|0.0|0.0|90.0|KnmxRangerSS1PrestonPreSys1000|536164000.0|5.0|M/S|50.0|1996-11-02T00:00:00|2013-07-19T09:11:05
ES|CCAN|00|EHZ|28.223732|-16.607005|2250.0|0.0|0.0|-90.0|KnmxRangerSS1GrlpDM24Mk3Tap6|102244000000.0|5.0|M/S|100.0|2014-08-27T10:19:29|
ES|CCAN|00|SHZ|28.223732|-16.607005|2250.0|0.0|0.0|-90.0|KnmxRangerSS1NmxTaurus4VppHighImp1mHzRFon50sps|1308910000000.0|5.0|M/S|50.0|2010-07-21T10:45:30|2017-10-06T09:37:06
ES|CCAN|01|SHZ|28.223732|-16.607005|2250.0|0.0|0.0|90.0|KnmxRangerSS1KnmxDataSeisDigitalVAX|268082000.0|5.0|M/S|50.0|1990-07-20T00:00:00|2000-01-01T00:00:00
ES|CCHO|00|EHE|28.225238|-16.673729|2070.0|0.0|90.0|0.0|LE3DLiteClassic400VmsNmxCentaur4Vpp1mHzRFon|1601910000.0|10.0|M/S|100.0|2018-11-26T13:58:46|
ES|CCHO|00|EHN|28.225238|-16.673729|2070.0|0.0|0.0|0.0|LE3DLiteClassic400VmsNmxCentaur4Vpp1mHzRFon|1601910000.0|10.0|M/S|100.0|2018-11-26T13:58:46|
ES|CCHO|00|EHZ|28.225238|-16.673729|2070.0|0.0|0.0|-90.0|LE3DLiteClassic400VmsNmxCentaur4Vpp1mHzRFon|1601910000.0|10.0|M/S|100.0|2018-11-26T13:58:46|
ES|CCHO|00|HHE|28.225238|-16.673729|2070.0|0.0|90.0|0.0|NmxTCompact@120s754VmsNmxCentaur40VppLPh1mHzRFon|301720000.0|1.0|M/S|100.0|2026-02-19T11:30:00|
ES|CCHO|00|HHN|28.225238|-16.673729|2070.0|0.0|0.0|0.0|NmxTCompact@120s754VmsNmxCentaur40VppLPh1mHzRFon|301720000.0|1.0|M/S|100.0|2026-02-19T11:30:00|
ES|CCHO|00|HHZ|28.225238|-16.673729|2070.0|0.0|0.0|-90.0|NmxTCompact@120s754VmsNmxCentaur40VppLPh1mHzRFon|301720000.0|1.0|M/S|100.0|2026-02-19T11:30:00|
ES|CCHO|01|EHZ|28.225773|-16.673404|2070.0|0.0|0.0|-90.0|MarkL4C171VmsRc5500Rs8905NmxCentaur4Vpp1mHzRFon|684102000.0|10.0|M/S|100.0|2018-11-27T07:09:36|2026-02-19T10:54:00
ES|CCHO|02|EHZ|28.226183|-16.673132|2070.0|0.0|0.0|-90.0|MarkL4C171VmsRc5500Rs8905NmxCentaur4Vpp1mHzRFon|684102000.0|10.0|M/S|100.0|2018-11-27T07:09:36|2026-02-19T10:54:00
ES|CCHO|03|EHZ|28.226746|-16.672771|2070.0|0.0|0.0|-90.0|MarkL4C171VmsRc5500Rs8905NmxCentaur4Vpp1mHzRFon|684102000.0|10.0|M/S|100.0|2018-11-27T07:09:36|2026-02-13T10:28:20
ES|CCHO|04|EHZ|28.226767|-16.67399|2070.0|0.0|0.0|-90.0|MarkL4C171VmsRc5500Rs8905NmxCentaur4Vpp1mHzRFon|684102000.0|10.0|M/S|100.0|2018-11-27T07:09:36|2026-02-13T10:28:20
ES|CCHO|05|EHZ|28.226297|-16.673941|2070.0|0.0|0.0|-90.0|MarkL4C171VmsRc5500Rs8905NmxCentaur4Vpp1mHzRFon|684102000.0|10.0|M/S|100.0|2018-11-27T07:09:36|2026-02-19T10:54:00
