#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
ES|E0701|38.9545|-2.7727|937.0|Ossa de Montiel (Albacete),Spain|2015-02-24T10:06:21|2015-06-22T08:00:00
ES|E0702|39.0416|-2.48883|907.0|Munera (Albacete),Spain|2015-03-03T12:28:00|2016-01-28T12:03:00
ES|E0801|37.8452|-3.3363|580.0|Jodar,Jaen,Spain|2016-09-26T14:12:25|2017-01-17T11:06:47
ES|E0802|38.025766|-3.375653|770.0|Ubeda,Jaen,Spain|2016-09-26T11:17:51|2023-03-21T11:35:41
ES|E0803|37.835415|-3.471793|705.0|Jimena (Jaen),Spain|2019-02-05T10:32:15|2019-11-21T21:04:27
ES|E0901|40.480592|-1.127914|1176.0|Celadas (Teruel),Spain|2017-07-13T12:23:51|2022-09-22T10:09:43
ES|E1001|38.017266|-1.393398|275.0|Albudeite (Murcia),Spain|2018-01-11T00:00:00|2018-06-26T11:46:25
ES|E1002|38.072327|-1.439766|285.0|Yechar (Murcia),Spain|2018-01-11T00:00:00|2018-06-26T11:01:24
ES|E1101|37.014735|-5.151929|440.0|Algamitas (Sevilla),Spain|2018-02-06T10:20:31|2018-07-23T10:36:10
ES|E1201|42.139466|-2.276803|1000.0|Enciso (La Rioja),Spain|2019-02-19T15:34:56|2021-03-16T13:38:26
ES|E1202|42.15819|-2.25894|760.0|Enciso (La Rioja),Spain|2019-02-19T12:41:27|2020-10-11T05:55:12
ES|E1301|37.131028|-5.216726|290.0|La Puebla de Cazalla (Sevilla),Spain|2019-09-04T13:02:23|2019-09-06T11:11:09
ES|E1302|37.133085|-5.243838|300.0|La Puebla de Cazalla (Sevilla),Spain|2019-09-18T14:10:25|2020-07-15T21:16:16
ES|E1401|42.798196|-1.360072|510.0|Aoiz/Agoizko (Navarra),Spain|2020-10-01T15:16:00|2020-11-06T08:51:48
ES|E1501|37.248726|-3.756598|564.0|Pinos Puente (Granada),Spain|2021-01-25T16:27:07|2021-06-14T16:02:53
ES|E1601|36.44392|-5.269525|435.0|Casares (Malaga),Spain|2026-02-07T16:00:00|2026-04-28T10:09:49
ES|E1602|36.517357|-5.313926|640.0|Gaucin (Malaga),Spain|2026-02-08T10:00:00|2026-04-28T08:46:07
ES|E1603|36.61426|-5.3423|625.0|Cortes de la Frontera (Malaga),Spain|2026-02-08T13:30:00|2026-04-28T07:54:48
ES|E1701|37.07312|-3.6019|895.0|Dilar (Granada),Spain|2026-08-15T16:20:53|
ES|E1702|37.104745|-3.72635|740.0|La Malaha (Granada),Spain|2026-08-15T17:48:49|
ES|EADA|38.1673|-4.5771|565.0|Adamuz (Cordoba),Spain|2001-12-20T00:00:00|
ES|EAGO|42.8027|-8.0892|500.0|Agolada (Pontevedra),Spain|2010-03-25T09:58:20|
ES|EALB|35.939897|-3.034254|20.0|Alboran Island (Almeria),Spain|2001-04-10T00:00:00|
ES|EALK|43.2197|-1.5071|965.0|Alkurruntz (Navarra/Nafarroa),Spain|2002-08-01T00:00:00|
